-0.157,-1.215,0.973,30.457,20.752,36.682
-0.197,-1.178,0.935,21.729,45.044,39.856
-0.285,-1.010,0.710,13.245,60.791,39.490
-0.297,-0.873,0.523,5.005,73.059,37.415
-0.297,-0.726,0.287,-6.836,97.412,31.982
-0.269,-0.510,-0.294,-5.249,113.770,26.672
-0.225,-0.466,-0.612,19.226,134.399,5.920
-0.003,-0.529,-1.124,36.438,138.977,-11.230
0.135,-0.647,-1.298,67.383,132.690,-43.152
0.391,-1.078,-1.504,75.623,117.615,-49.255
0.490,-1.256,-1.483,64.026,67.993,-39.307
0.583,-1.408,-1.273,46.753,40.222,-22.156
0.563,-1.367,-1.133,2.563,-16.357,15.137
0.377,-1.085,-0.869,-15.808,-42.480,26.672
0.260,-0.950,-0.741,-25.452,-62.622,32.532
0.177,-0.893,-0.626,-25.330,-76.111,25.269
0.162,-0.937,-0.475,-26.978,-74.036,10.071
0.085,-1.183,1.047,25.391,28.442,-8.118
0.090,-1.266,1.229,45.044,43.640,2.563
0.017,-1.393,1.388,47.913,52.124,16.174
-0.048,-1.379,1.367,32.288,69.641,44.312
-0.194,-1.134,1.222,18.250,79.529,50.781
-0.274,-0.914,1.053,4.089,93.750,52.002
-0.347,-0.671,0.765,-4.700,125.305,50.049
-0.430,-0.284,-0.069,3.113,147.339,43.335
-0.405,-0.202,-0.505,25.879,184.509,-3.235
-0.282,-0.180,-1.370,40.771,188.599,-29.602
-0.183,-0.310,-1.697,95.398,178.650,-47.729
0.073,-0.870,-1.911,122.192,165.710,-49.744
0.189,-1.209,-1.853,134.216,147.217,-52.490
0.446,-1.646,-1.503,99.854,102.356,-63.660
0.559,-1.649,-1.270,62.317,75.806,-65.247
0.605,-1.533,-1.057,-10.315,6.775,-28.503
0.436,-1.127,-0.782,-33.691,-31.128,2.380
0.280,-0.947,-0.685,-44.312,-82.092,41.443
0.076,-0.844,-0.517,-37.964,-88.745,40.588
0.186,-1.116,1.061,19.409,3.601,-3.906
0.159,-1.169,1.427,41.382,15.503,5.554
0.051,-1.354,1.869,48.523,23.987,14.526
-0.053,-1.374,1.905,45.349,33.936,17.639
-0.318,-1.177,1.711,19.165,55.908,21.667
-0.429,-1.024,1.516,9.033,69.946,29.907
-0.523,-0.839,1.221,-9.644,103.638,41.809
-0.608,-0.394,0.278,-18.433,126.160,38.757
-0.584,-0.203,-0.342,1.526,165.710,9.277
-0.272,-0.243,-1.317,30.945,191.895,-16.907
-0.043,-0.440,-1.579,75.195,203.918,-69.702
0.355,-0.865,-1.821,86.914,185.608,-75.989
0.489,-1.090,-1.849,94.604,154.541,-66.223
0.604,-1.456,-1.661,87.646,77.271,-28.503
0.625,-1.509,-1.380,70.740,43.640,-12.268
0.607,-1.437,-1.041,15.381,-13.306,10.864
0.364,-1.030,-0.505,-8.362,-40.161,22.583
0.194,-0.846,-0.318,-11.169,-72.266,44.312
-0.027,-0.755,-0.024,0.793,-72.388,46.692
0.020,-1.000,1.458,63.171,20.569,30.212
-0.076,-1.082,1.698,82.947,30.518,58.411
-0.378,-1.170,1.826,71.533,40.161,70.190
-0.541,-1.094,1.678,9.766,79.407,73.914
-0.688,-0.598,0.955,-12.878,101.929,62.195
-0.630,-0.334,0.412,-20.935,134.399,49.438
-0.504,-0.176,-0.262,-4.517,211.731,26.062
-0.110,-0.222,-1.776,17.273,230.469,0.427
0.183,-0.487,-2.383,93.018,239.624,-73.730
1.037,-1.500,-2.703,123.962,227.051,-105.469
1.370,-1.843,-2.431,96.985,125.549,-105.652
1.347,-1.822,-1.515,55.420,48.218,-58.411
0.966,-1.537,-1.111,-28.931,-92.773,49.133
-0.044,-0.777,-0.432,-47.119,-130.859,73.181
-0.413,-0.548,-0.125,-41.626,-141.357,79.285
-0.603,-0.527,0.056,-6.775,-100.647,57.556
-0.512,-0.690,0.116,-1.709,-66.223,28.931
-0.340,-0.715,0.088,-7.324,-12.756,-19.653
-0.010,-0.778,0.011,-6.653,0.061,-28.259
-0.054,-1.291,1.484,51.392,31.128,20.264
-0.122,-1.328,1.648,38.330,58.960,11.475
