aX,aY,aZ,gX,gY,gZ
0.083,-1.405,-0.477,-1.404,-10.742,27.344
0.149,-1.268,-0.446,-0.549,-4.7,20.386
0.153,-1.243,-0.433,-0.122,-2.686,17.7
0.133,-1.201,-0.414,-4.883,0.549,10.559
0.128,-1.164,-0.411,-8.301,2.747,5.798
0.134,-1.114,-0.415,-10.071,7.69,-1.648
0.17,-1.021,-0.421,-7.324,9.705,-0.977
0.187,-1.006,-0.416,-0.366,9.277,7.629
0.201,-0.995,-0.409,-0.366,6.775,9.888
0.201,-0.976,-0.411,-5.737,0.916,6.165
0.189,-0.915,-0.411,-8.118,-1.099,3.479
0.179,-0.892,-0.408,-9.644,-2.747,0.916
0.217,-1.785,-0.838,173.218,48.645,-116.455
0.197,-2.042,-0.891,119.324,3.601,-54.077
0.075,-2.169,-0.84,84.778,-13.611,-20.447
0.001,-2.114,-0.76,29.846,-29.968,31.738
-0.071,-1.918,-0.604,11.658,-30.945,43.518
-0.052,-1.768,-0.541,-7.874,-24.597,46.021
0.045,-1.464,-0.465,-12.024,-19.653,43.335
0.099,-1.351,-0.451,-13.489,-15.076,41.077
0.144,-1.269,-0.447,-14.404,-9.338,32.043
0.194,-1.142,-0.448,-15.259,-6.836,25.33
0.207,-1.08,-0.448,-13.367,-0.366,12.085
0.231,-0.983,-0.444,-9.766,2.625,7.507
0.239,-0.949,-0.439,-2.258,5.859,5.737
0.252,-0.911,-0.411,0.305,5.92,6.226
0.248,-0.897,-0.396,0.977,2.563,3.418
0.222,-0.866,-0.378,0.122,1.099,1.099
0.208,-0.855,-0.373,-0.122,0.427,-0.244
0.183,-0.849,-0.362,0.793,-0.122,-0.305
0.169,-0.847,-0.359,0.793,-0.671,-0.671
0.141,-1.625,-0.895,188.11,81.299,-155.823
0.19,-1.881,-0.956,148.132,47.729,-102.783
0.175,-2.167,-0.918,124.573,27.344,-62.988
0.111,-2.188,-0.874,70.068,-7.507,5.432
0.019,-2.083,-0.776,44.678,-16.113,27.283
0.029,-1.975,-0.715,-1.77,-18.25,37.598
0.105,-1.637,-0.614,-11.902,-18.494,39.429
0.151,-1.504,-0.572,-16.174,-19.348,40.527
0.2,-1.294,-0.518,-26.306,-19.043,33.386
0.209,-1.197,-0.505,-30.212,-17.212,28.564
0.22,-1.121,-0.494,-28.381,-10.559,20.386
0.258,-1.018,-0.48,-25.574,-7.324,15.991
0.273,-0.98,-0.476,-17.578,-3.296,12.817
0.287,-0.944,-0.46,-13,-2.502,12.512
0.29,-0.93,-0.446,-9.155,-2.441,8.972
0.28,-0.876,-0.426,-9.033,-2.014,7.202
0.275,-0.852,-0.417,-7.263,-1.526,4.272
0.254,-0.827,-0.397,-6.226,-2.319,2.747
0.235,-0.818,-0.39,-4.883,-3.906,0.427
