aX,aY,aZ,gX,gY,gZ
1.429,-0.769,-0.351,66.895,-132.141,3.784
0.892,-0.857,-0.344,53.284,-212.646,-20.508
-0.283,-1.087,-0.237,42.053,-220.581,-10.742
-0.772,-1.231,-0.121,12.268,-181.519,24.841
-1.399,-1.435,0.141,-1.343,-147.827,32.166
-1.537,-1.474,0.262,-10.742,-72.937,29.175
-1.469,-1.431,0.398,-12.024,-36.621,27.466
-1.305,-1.352,0.384,-9.155,13.489,38.879
-0.857,-1.202,0.257,-9.277,24.841,42.542
-0.642,-1.125,0.199,-13.245,31.494,38.574
-0.316,-0.972,0.131,-14.526,27.466,32.654
-0.21,-0.918,0.123,-12.878,21.362,26.306
-0.079,-0.88,0.134,-6.47,11.292,9.216
-0.026,-0.883,0.136,-3.235,8.057,-0.305
